primary_type,community_area,count
INTIMIDATION,13,18
KIDNAPPING,13,21
LIQUOR LAW VIOLATION,13,60
MOTOR VEHICLE THEFT,13,1255
NARCOTICS,13,996
NON-CRIMINAL,13,2
OBSCENITY,13,4
OFFENSE INVOLVING CHILDREN,13,170
OTHER NARCOTIC VIOLATION,13,7
OTHER OFFENSE,13,1506
PROSTITUTION,13,48
PUBLIC PEACE VIOLATION,13,137
ROBBERY,13,502
SEX OFFENSE,13,154
STALKING,13,17
THEFT,13,6628
WEAPONS VIOLATION,13,148
ARSON,14,107
ASSAULT,14,3471
BATTERY,14,11169
BURGLARY,14,3897
CONCEALED CARRY LICENSE VIOLATION,14,3
CRIM SEXUAL ASSAULT,14,243
CRIMINAL DAMAGE,14,8760
CRIMINAL SEXUAL ASSAULT,14,66
CRIMINAL TRESPASS,14,1492
DECEPTIVE PRACTICE,14,2472
GAMBLING,14,63
HOMICIDE,14,70
HUMAN TRAFFICKING,14,1
INTERFERENCE WITH PUBLIC OFFICER,14,118
INTIMIDATION,14,51
KIDNAPPING,14,53
LIQUOR LAW VIOLATION,14,279
MOTOR VEHICLE THEFT,14,3579
NARCOTICS,14,3299
NON-CRIMINAL,14,2
OBSCENITY,14,4
OFFENSE INVOLVING CHILDREN,14,527
OTHER NARCOTIC VIOLATION,14,6
OTHER OFFENSE,14,4246
PROSTITUTION,14,577
PUBLIC INDECENCY,14,1
PUBLIC PEACE VIOLATION,14,588
ROBBERY,14,2363
SEX OFFENSE,14,415
STALKING,14,36
THEFT,14,12840
WEAPONS VIOLATION,14,575
ARSON,15,174
ASSAULT,15,4897
BATTERY,15,13617
BURGLARY,15,5692
CONCEALED CARRY LICENSE VIOLATION,15,5
CRIM SEXUAL ASSAULT,15,261
CRIMINAL DAMAGE,15,12846
CRIMINAL SEXUAL ASSAULT,15,46
CRIMINAL TRESPASS,15,1867
DECEPTIVE PRACTICE,15,4562
GAMBLING,15,31
HOMICIDE,15,43
HUMAN TRAFFICKING,15,2
INTERFERENCE WITH PUBLIC OFFICER,15,137
INTIMIDATION,15,64
KIDNAPPING,15,93
LIQUOR LAW VIOLATION,15,316
MOTOR VEHICLE THEFT,15,4974
NARCOTICS,15,5328
NON - CRIMINAL,15,1
NON-CRIMINAL,15,1
OBSCENITY,15,18
OFFENSE INVOLVING CHILDREN,15,707
OTHER NARCOTIC VIOLATION,15,5
OTHER OFFENSE,15,7320
PROSTITUTION,15,365
PUBLIC INDECENCY,15,1
PUBLIC PEACE VIOLATION,15,509
ROBBERY,15,2057
SEX OFFENSE,15,407
STALKING,15,44
THEFT,15,19972
WEAPONS VIOLATION,15,540
ARSON,16,167
ASSAULT,16,4214
BATTERY,16,12989
BURGLARY,16,5956
CONCEALED CARRY LICENSE VIOLATION,16,2
CRIM SEXUAL ASSAULT,16,299
CRIMINAL DAMAGE,16,11777
CRIMINAL SEXUAL ASSAULT,16,51
CRIMINAL TRESPASS,16,1541
DECEPTIVE PRACTICE,16,3344
GAMBLING,16,45
HOMICIDE,16,53
INTERFERENCE WITH PUBLIC OFFICER,16,96
INTIMIDATION,16,48
KIDNAPPING,16,77
