primary_type,community_area,count
SEX OFFENSE,32,636
STALKING,32,117
THEFT,32,85578
WEAPONS VIOLATION,32,457
ARSON,33,34
ASSAULT,33,2692
BATTERY,33,7424
BURGLARY,33,1375
CONCEALED CARRY LICENSE VIOLATION,33,4
CRIM SEXUAL ASSAULT,33,118
CRIMINAL DAMAGE,33,4004
CRIMINAL SEXUAL ASSAULT,33,40
CRIMINAL TRESPASS,33,7341
DECEPTIVE PRACTICE,33,3564
GAMBLING,33,33
HOMICIDE,33,37
INTERFERENCE WITH PUBLIC OFFICER,33,99
INTIMIDATION,33,28
KIDNAPPING,33,27
LIQUOR LAW VIOLATION,33,66
MOTOR VEHICLE THEFT,33,1909
NARCOTICS,33,3351
NON-CRIMINAL,33,3
OBSCENITY,33,9
OFFENSE INVOLVING CHILDREN,33,230
OTHER NARCOTIC VIOLATION,33,3
OTHER OFFENSE,33,3016
PROSTITUTION,33,56
PUBLIC INDECENCY,33,1
PUBLIC PEACE VIOLATION,33,210
ROBBERY,33,1286
SEX OFFENSE,33,161
STALKING,33,45
THEFT,33,14968
WEAPONS VIOLATION,33,274
ARSON,34,41
ASSAULT,34,1330
BATTERY,34,3917
BURGLARY,34,1212
CONCEALED CARRY LICENSE VIOLATION,34,1
CRIM SEXUAL ASSAULT,34,46
CRIMINAL DAMAGE,34,3044
CRIMINAL SEXUAL ASSAULT,34,12
CRIMINAL TRESPASS,34,1096
DECEPTIVE PRACTICE,34,1885
GAMBLING,34,88
HOMICIDE,34,27
HUMAN TRAFFICKING,34,1
INTERFERENCE WITH PUBLIC OFFICER,34,46
INTIMIDATION,34,20
KIDNAPPING,34,6
LIQUOR LAW VIOLATION,34,77
MOTOR VEHICLE THEFT,34,1407
NARCOTICS,34,1506
NON-CRIMINAL,34,1
OBSCENITY,34,2
OFFENSE INVOLVING CHILDREN,34,103
OTHER OFFENSE,34,1073
PROSTITUTION,34,44
PUBLIC INDECENCY,34,2
PUBLIC PEACE VIOLATION,34,113
ROBBERY,34,1607
SEX OFFENSE,34,96
STALKING,34,16
THEFT,34,6724
WEAPONS VIOLATION,34,224
ARSON,35,43
ASSAULT,35,5039
BATTERY,35,14621
BURGLARY,35,1744
CONCEALED CARRY LICENSE VIOLATION,35,6
CRIM SEXUAL ASSAULT,35,268
CRIMINAL DAMAGE,35,5609
CRIMINAL SEXUAL ASSAULT,35,48
CRIMINAL TRESPASS,35,6094
DECEPTIVE PRACTICE,35,3030
GAMBLING,35,130
HOMICIDE,35,84
HUMAN TRAFFICKING,35,1
INTERFERENCE WITH PUBLIC OFFICER,35,126
INTIMIDATION,35,55
KIDNAPPING,35,50
LIQUOR LAW VIOLATION,35,33
MOTOR VEHICLE THEFT,35,2881
NARCOTICS,35,12651
NON - CRIMINAL,35,1
NON-CRIMINAL,35,2
OBSCENITY,35,5
OFFENSE INVOLVING CHILDREN,35,375
OTHER OFFENSE,35,4192
PROSTITUTION,35,76
PUBLIC INDECENCY,35,1
PUBLIC PEACE VIOLATION,35,359
ROBBERY,35,2875
SEX OFFENSE,35,248
STALKING,35,51
THEFT,35,14900
WEAPONS VIOLATION,35,665
ARSON,36,22
ASSAULT,36,1297
BATTERY,36,3324
BURGLARY,36,774
CONCEALED CARRY LICENSE VIOLATION,36,2
CRIM SEXUAL ASSAULT,36,64
CRIMINAL DAMAGE,36,1898
CRIMINAL SEXUAL ASSAULT,36,13
CRIMINAL TRESPASS,36,574
DECEPTIVE PRACTICE,36,619
GAMBLING,36,28
HOMICIDE,36,26
INTERFERENCE WITH PUBLIC OFFICER,36,18
INTIMIDATION,36,10
KIDNAPPING,36,10
LIQUOR LAW VIOLATION,36,2
MOTOR VEHICLE THEFT,36,750
NARCOTICS,36,1042
NON-CRIMINAL,36,1
OBSCENITY,36,3
OFFENSE INVOLVING CHILDREN,36,179
OTHER OFFENSE,36,1319
PUBLIC INDECENCY,36,1
PUBLIC PEACE VIOLATION,36,54
ROBBERY,36,501
SEX OFFENSE,36,61
STALKING,36,14
THEFT,36,2694
WEAPONS VIOLATION,36,185
ARSON,37,35
ASSAULT,37,1640
BATTERY,37,4209
BURGLARY,37,790
CONCEALED CARRY LICENSE VIOLATION,37,1
CRIM SEXUAL ASSAULT,37,86
CRIMINAL DAMAGE,37,2053
CRIMINAL SEXUAL ASSAULT,37,10
CRIMINAL TRESPASS,37,1075
DECEPTIVE PRACTICE,37,1088
GAMBLING,37,49
HOMICIDE,37,44
HUMAN TRAFFICKING,37,1
INTERFERENCE WITH PUBLIC OFFICER,37,114
INTIMIDATION,37,34
KIDNAPPING,37,15
LIQUOR LAW VIOLATION,37,13
MOTOR VEHICLE THEFT,37,1056
NARCOTICS,37,3478
NON - CRIMINAL,37,1
NON-CRIMINAL,37,1
NON-CRIMINAL (SUBJECT SPECIFIED),37,1
OBSCENITY,37,2
OFFENSE INVOLVING CHILDREN,37,197
OTHER NARCOTIC VIOLATION,37,1
OTHER OFFENSE,37,929
PROSTITUTION,37,35
PUBLIC INDECENCY,37,1
PUBLIC PEACE VIOLATION,37,161
ROBBERY,37,1183
SEX OFFENSE,37,57
STALKING,37,14
THEFT,37,4174
WEAPONS VIOLATION,37,409
ARSON,38,92
ASSAULT,38,7120
BATTERY,38,20495
BURGLARY,38,4949
CONCEALED CARRY LICENSE VIOLATION,38,3
CRIM SEXUAL ASSAULT,38,384
CRIMINAL DAMAGE,38,10135
CRIMINAL SEXUAL ASSAULT,38,55
CRIMINAL TRESPASS,38,2983
DECEPTIVE PRACTICE,38,3102
GAMBLING,38,230
HOMICIDE,38,176
HUMAN TRAFFICKING,38,2
INTERFERENCE WITH PUBLIC OFFICER,38,208
INTIMIDATION,38,48
KIDNAPPING,38,70
LIQUOR LAW VIOLATION,38,73
MOTOR VEHICLE THEFT,38,4460
NARCOTICS,38,9720
OBSCENITY,38,14
OFFENSE INVOLVING CHILDREN,38,587
OTHER NARCOTIC VIOLATION,38,1
OTHER OFFENSE,38,5892
PROSTITUTION,38,2066
PUBLIC INDECENCY,38,3
PUBLIC PEACE VIOLATION,38,428
ROBBERY,38,4161
SEX OFFENSE,38,295
STALKING,38,47
THEFT,38,15907
WEAPONS VIOLATION,38,1192
ARSON,39,36
ASSAULT,39,2908
BATTERY,39,7358
BURGLARY,39,2186
CRIM SEXUAL ASSAULT,39,158
CRIMINAL DAMAGE,39,4391
CRIMINAL SEXUAL ASSAULT,39,24
CRIMINAL TRESPASS,39,1041
DECEPTIVE PRACTICE,39,1932
GAMBLING,39,69
HOMICIDE,39,36
INTERFERENCE WITH PUBLIC OFFICER,39,31
INTIMIDATION,39,22
KIDNAPPING,39,30
LIQUOR LAW VIOLATION,39,12
MOTOR VEHICLE THEFT,39,1869
NARCOTICS,39,1927
NON-CRIMINAL,39,1
OBSCENITY,39,6
OFFENSE INVOLVING CHILDREN,39,324
OTHER OFFENSE,39,3095
PROSTITUTION,39,10
PUBLIC PEACE VIOLATION,39,146
ROBBERY,39,1580
SEX OFFENSE,39,132
STALKING,39,28
THEFT,39,9487
WEAPONS VIOLATION,39,333
ARSON,4,40
ASSAULT,4,2494
BATTERY,4,7397
BURGLARY,4,3307
CONCEALED CARRY LICENSE VIOLATION,4,2
CRIM SEXUAL ASSAULT,4,182
CRIMINAL DAMAGE,4,6791
CRIMINAL SEXUAL ASSAULT,4,51
CRIMINAL TRESPASS,4,1272
DECEPTIVE PRACTICE,4,3147
GAMBLING,4,56
HOMICIDE,4,19
INTERFERENCE WITH PUBLIC OFFICER,4,58
INTIMIDATION,4,34
KIDNAPPING,4,47
LIQUOR LAW VIOLATION,4,189
MOTOR VEHICLE THEFT,4,2235
NARCOTICS,4,1790
NON-CRIMINAL,4,3
OBSCENITY,4,5
OFFENSE INVOLVING CHILDREN,4,278
OTHER NARCOTIC VIOLATION,4,2
OTHER OFFENSE,4,3429
PROSTITUTION,4,197
PUBLIC INDECENCY,4,4
PUBLIC PEACE VIOLATION,4,405
ROBBERY,4,1117
SEX OFFENSE,4,281
STALKING,4,41
THEFT,4,13679
WEAPONS VIOLATION,4,185
ARSON,40,76
ASSAULT,40,5688
BATTERY,40,17906
BURGLARY,40,3953
CONCEALED CARRY LICENSE VIOLATION,40,1
CRIM SEXUAL ASSAULT,40,307
CRIMINAL DAMAGE,40,8043
CRIMINAL SEXUAL ASSAULT,40,34
CRIMINAL TRESPASS,40,2613
DECEPTIVE PRACTICE,40,1617
GAMBLING,40,264
HOMICIDE,40,171
HUMAN TRAFFICKING,40,3
INTERFERENCE WITH PUBLIC OFFICER,40,177
INTIMIDATION,40,32
KIDNAPPING,40,58
LIQUOR LAW VIOLATION,40,66
MOTOR VEHICLE THEFT,40,3362
NARCOTICS,40,7138
OBSCENITY,40,9
OFFENSE INVOLVING CHILDREN,40,560
OTHER OFFENSE,40,4319
PROSTITUTION,40,1280
PUBLIC INDECENCY,40,1
PUBLIC PEACE VIOLATION,40,372
ROBBERY,40,3456
SEX OFFENSE,40,218
STALKING,40,36
THEFT,40,10007
WEAPONS VIOLATION,40,1140
ARSON,41,30
ASSAULT,41,2339
BATTERY,41,5318
BURGLARY,41,3196
CRIM SEXUAL ASSAULT,41,197
CRIMINAL DAMAGE,41,4442
CRIMINAL SEXUAL ASSAULT,41,41
CRIMINAL TRESPASS,41,1124
DECEPTIVE PRACTICE,41,2997
GAMBLING,41,32
HOMICIDE,41,29
HUMAN TRAFFICKING,41,2
INTERFERENCE WITH PUBLIC OFFICER,41,33
INTIMIDATION,41,15
KIDNAPPING,41,30
LIQUOR LAW VIOLATION,41,28
MOTOR VEHICLE THEFT,41,2394
NARCOTICS,41,997
OBSCENITY,41,9
OFFENSE INVOLVING CHILDREN,41,266
OTHER OFFENSE,41,2751
PROSTITUTION,41,4
PUBLIC INDECENCY,41,2
PUBLIC PEACE VIOLATION,41,129
ROBBERY,41,2419
SEX OFFENSE,41,200
STALKING,41,40
THEFT,41,14230
WEAPONS VIOLATION,41,191
ARSON,42,135
ASSAULT,42,8341
BATTERY,42,23699
BURGLARY,42,6792
CONCEALED CARRY LICENSE VIOLATION,42,8
CRIM SEXUAL ASSAULT,42,487
CRIMINAL DAMAGE,42,12225
CRIMINAL SEXUAL ASSAULT,42,66
CRIMINAL TRESPASS,42,4985
DECEPTIVE PRACTICE,42,3201
GAMBLING,42,443
HOMICIDE,42,193
HUMAN TRAFFICKING,42,1
INTERFERENCE WITH PUBLIC OFFICER,42,388
INTIMIDATION,42,78
KIDNAPPING,42,118
LIQUOR LAW VIOLATION,42,91
MOTOR VEHICLE THEFT,42,4058
NARCOTICS,42,12684
NON-CRIMINAL,42,2
OBSCENITY,42,10
OFFENSE INVOLVING CHILDREN,42,1052
OTHER OFFENSE,42,7723
PROSTITUTION,42,634
PUBLIC INDECENCY,42,1
PUBLIC PEACE VIOLATION,42,1016
ROBBERY,42,4760
SEX OFFENSE,42,406
STALKING,42,62
THEFT,42,15242
WEAPONS VIOLATION,42,1784
ARSON,43,291
ASSAULT,43,17038
BATTERY,43,49931
BURGLARY,43,16937
CONCEALED CARRY LICENSE VIOLATION,43,14
CRIM SEXUAL ASSAULT,43,1016
CRIMINAL DAMAGE,43,26606
CRIMINAL SEXUAL ASSAULT,43,164
CRIMINAL TRESPASS,43,5590
DECEPTIVE PRACTICE,43,7745
GAMBLING,43,509
HOMICIDE,43,457
HUMAN TRAFFICKING,43,1
INTERFERENCE WITH PUBLIC OFFICER,43,596
INTIMIDATION,43,114
KIDNAPPING,43,190
LIQUOR LAW VIOLATION,43,140
MOTOR VEHICLE THEFT,43,9422
NARCOTICS,43,18693
NON - CRIMINAL,43,1
NON-CRIMINAL,43,1
OBSCENITY,43,22
OFFENSE INVOLVING CHILDREN,43,2033
OTHER OFFENSE,43,16437
PROSTITUTION,43,1047
PUBLIC INDECENCY,43,3
PUBLIC PEACE VIOLATION,43,1181
ROBBERY,43,10099
SEX OFFENSE,43,687
STALKING,43,141
THEFT,43,35553
WEAPONS VIOLATION,43,3158
ARSON,44,195
ASSAULT,44,10693
BATTERY,44,28719
BURGLARY,44,8943
CONCEALED CARRY LICENSE VIOLATION,44,24
CRIM SEXUAL ASSAULT,44,585
CRIMINAL DAMAGE,44,15736
CRIMINAL SEXUAL ASSAULT,44,78
CRIMINAL TRESPASS,44,3840
DECEPTIVE PRACTICE,44,6968
GAMBLING,44,199
HOMICIDE,44,300
HUMAN TRAFFICKING,44,1
INTERFERENCE WITH PUBLIC OFFICER,44,375
INTIMIDATION,44,69
KIDNAPPING,44,141
LIQUOR LAW VIOLATION,44,107
MOTOR VEHICLE THEFT,44,7867
NARCOTICS,44,11417
NON-CRIMINAL,44,2
OBSCENITY,44,12
OFFENSE INVOLVING CHILDREN,44,1132
OTHER NARCOTIC VIOLATION,44,1
OTHER OFFENSE,44,9456
PROSTITUTION,44,401
PUBLIC INDECENCY,44,7
PUBLIC PEACE VIOLATION,44,692
RITUALISM,44,1
ROBBERY,44,7906
SEX OFFENSE,44,401
STALKING,44,139
THEFT,44,31611
WEAPONS VIOLATION,44,2220
ARSON,45,63
ASSAULT,45,2740
BATTERY,45,6912
BURGLARY,45,2279
CONCEALED CARRY LICENSE VIOLATION,45,3
CRIM SEXUAL ASSAULT,45,163
CRIMINAL DAMAGE,45,4000
CRIMINAL SEXUAL ASSAULT,45,19
CRIMINAL TRESPASS,45,656
DECEPTIVE PRACTICE,45,1492
GAMBLING,45,36
HOMICIDE,45,68
INTERFERENCE WITH PUBLIC OFFICER,45,76
INTIMIDATION,45,26
KIDNAPPING,45,41
LIQUOR LAW VIOLATION,45,19
MOTOR VEHICLE THEFT,45,2072
NARCOTICS,45,1780
OBSCENITY,45,4
OFFENSE INVOLVING CHILDREN,45,300
OTHER OFFENSE,45,2466
PROSTITUTION,45,15
PUBLIC INDECENCY,45,1
PUBLIC PEACE VIOLATION,45,301
ROBBERY,45,1895
SEX OFFENSE,45,109
STALKING,45,28
THEFT,45,7012
WEAPONS VIOLATION,45,673
ARSON,46,231
ASSAULT,46,10733
BATTERY,46,28076
BURGLARY,46,8297
CONCEALED CARRY LICENSE VIOLATION,46,10
CRIM SEXUAL ASSAULT,46,540
CRIMINAL DAMAGE,46,15585
CRIMINAL SEXUAL ASSAULT,46,73
CRIMINAL TRESPASS,46,2996
DECEPTIVE PRACTICE,46,3550
GAMBLING,46,205
HOMICIDE,46,276
HUMAN TRAFFICKING,46,2
INTERFERENCE WITH PUBLIC OFFICER,46,418
INTIMIDATION,46,101
KIDNAPPING,46,146
LIQUOR LAW VIOLATION,46,199
MOTOR VEHICLE THEFT,46,5147
NARCOTICS,46,12117
OBSCENITY,46,7
OFFENSE INVOLVING CHILDREN,46,1428
OTHER NARCOTIC VIOLATION,46,3
OTHER OFFENSE,46,8814
PROSTITUTION,46,512
PUBLIC PEACE VIOLATION,46,965
RITUALISM,46,2
ROBBERY,46,4895
SEX OFFENSE,46,431
STALKING,46,82
THEFT,46,18452
WEAPONS VIOLATION,46,2357
ARSON,47,30
ASSAULT,47,836
BATTERY,47,2076
BURGLARY,47,847
CONCEALED CARRY LICENSE VIOLATION,47,2
CRIM SEXUAL ASSAULT,47,47
CRIMINAL DAMAGE,47,1471
CRIMINAL SEXUAL ASSAULT,47,6
CRIMINAL TRESPASS,47,185
DECEPTIVE PRACTICE,47,290
GAMBLING,47,55
HOMICIDE,47,29
INTERFERENCE WITH PUBLIC OFFICER,47,24
INTIMIDATION,47,4
KIDNAPPING,47,7
LIQUOR LAW VIOLATION,47,8
MOTOR VEHICLE THEFT,47,487
NARCOTICS,47,982
OFFENSE INVOLVING CHILDREN,47,95
OTHER OFFENSE,47,724
PROSTITUTION,47,2
PUBLIC PEACE VIOLATION,47,73
ROBBERY,47,359
SEX OFFENSE,47,27
STALKING,47,6
THEFT,47,1431
WEAPONS VIOLATION,47,210
ARSON,48,42
ASSAULT,48,2552
BATTERY,48,6276
BURGLARY,48,2487
CONCEALED CARRY LICENSE VIOLATION,48,4
CRIM SEXUAL ASSAULT,48,160
CRIMINAL DAMAGE,48,4898
CRIMINAL SEXUAL ASSAULT,48,29
CRIMINAL TRESPASS,48,722
DECEPTIVE PRACTICE,48,1837
GAMBLING,48,38
HOMICIDE,48,51
INTERFERENCE WITH PUBLIC OFFICER,48,72
INTIMIDATION,48,23
KIDNAPPING,48,48
LIQUOR LAW VIOLATION,48,64
MOTOR VEHICLE THEFT,48,2619
NARCOTICS,48,2090
OBSCENITY,48,5
OFFENSE INVOLVING CHILDREN,48,351
OTHER OFFENSE,48,2867
PROSTITUTION,48,2
PUBLIC PEACE VIOLATION,48,152
ROBBERY,48,1900
SEX OFFENSE,48,103
STALKING,48,32
THEFT,48,7447
WEAPONS VIOLATION,48,625
ARSON,49,357
ASSAULT,49,14556
BATTERY,49,38783
BURGLARY,49,11101
CONCEALED CARRY LICENSE VIOLATION,49,20
CRIM SEXUAL ASSAULT,49,801
CRIMINAL DAMAGE,49,22417
CRIMINAL SEXUAL ASSAULT,49,101
CRIMINAL TRESPASS,49,4665
DECEPTIVE PRACTICE,49,5877
GAMBLING,49,364
HOMICIDE,49,378
HUMAN TRAFFICKING,49,3
INTERFERENCE WITH PUBLIC OFFICER,49,660
INTIMIDATION,49,107
KIDNAPPING,49,205
LIQUOR LAW VIOLATION,49,106
MOTOR VEHICLE THEFT,49,8054
NARCOTICS,49,19524
NON - CRIMINAL,49,1
OBSCENITY,49,15
OFFENSE INVOLVING CHILDREN,49,1535
OTHER NARCOTIC VIOLATION,49,1
OTHER OFFENSE,49,11970
PROSTITUTION,49,1410
PUBLIC INDECENCY,49,1
PUBLIC PEACE VIOLATION,49,1119
ROBBERY,49,7836
SEX OFFENSE,49,579
STALKING,49,99
THEFT,49,26769
WEAPONS VIOLATION,49,3690
ARSON,5,53
ASSAULT,5,1703
BATTERY,5,4114
BURGLARY,5,3756
CRIM SEXUAL ASSAULT,5,130
CRIMINAL DAMAGE,5,5399
CRIMINAL SEXUAL ASSAULT,5,19
CRIMINAL TRESPASS,5,1740
DECEPTIVE PRACTICE,5,2979
GAMBLING,5,31
HOMICIDE,5,22
INTERFERENCE WITH PUBLIC OFFICER,5,55
INTIMIDATION,5,41
KIDNAPPING,5,36
LIQUOR LAW VIOLATION,5,121
MOTOR VEHICLE THEFT,5,1774
NARCOTICS,5,1454
NON-CRIMINAL,5,3
OBSCENITY,5,11
OFFENSE INVOLVING CHILDREN,5,218
OTHER OFFENSE,5,2481
PROSTITUTION,5,126
PUBLIC INDECENCY,5,1
PUBLIC PEACE VIOLATION,5,210
ROBBERY,5,914
SEX OFFENSE,5,172
STALKING,5,40
THEFT,5,12861
WEAPONS VIOLATION,5,141
ARSON,50,36
ASSAULT,50,2731
BATTERY,50,6042
BURGLARY,50,1258
CONCEALED CARRY LICENSE VIOLATION,50,5
CRIM SEXUAL ASSAULT,50,105
CRIMINAL DAMAGE,50,3314
CRIMINAL SEXUAL ASSAULT,50,12
CRIMINAL TRESPASS,50,803
DECEPTIVE PRACTICE,50,1104
GAMBLING,50,28
HOMICIDE,50,43
INTERFERENCE WITH PUBLIC OFFICER,50,111
INTIMIDATION,50,61
KIDNAPPING,50,51
LIQUOR LAW VIOLATION,50,13
MOTOR VEHICLE THEFT,50,1313
NARCOTICS,50,1461
NON - CRIMINAL,50,2
NON-CRIMINAL,50,2
NON-CRIMINAL (SUBJECT SPECIFIED),50,1
OBSCENITY,50,3
OFFENSE INVOLVING CHILDREN,50,367
OTHER OFFENSE,50,2137
PROSTITUTION,50,5
PUBLIC INDECENCY,50,2
PUBLIC PEACE VIOLATION,50,212
RITUALISM,50,1
ROBBERY,50,806
SEX OFFENSE,50,104
STALKING,50,30
THEFT,50,5135
WEAPONS VIOLATION,50,488
ARSON,51,88
ASSAULT,51,4014
BATTERY,51,8484
BURGLARY,51,2606
CONCEALED CARRY LICENSE VIOLATION,51,7
CRIM SEXUAL ASSAULT,51,162
CRIMINAL DAMAGE,51,6185
CRIMINAL SEXUAL ASSAULT,51,15
CRIMINAL TRESPASS,51,1270
DECEPTIVE PRACTICE,51,1890
GAMBLING,51,66
HOMICIDE,51,87
HUMAN TRAFFICKING,51,2
INTERFERENCE WITH PUBLIC OFFICER,51,126
INTIMIDATION,51,35
KIDNAPPING,51,53
LIQUOR LAW VIOLATION,51,65
MOTOR VEHICLE THEFT,51,2026
NARCOTICS,51,2759
NON - CRIMINAL,51,1
NON-CRIMINAL,51,2
OBSCENITY,51,2
OFFENSE INVOLVING CHILDREN,51,554
OTHER OFFENSE,51,3366
PROSTITUTION,51,7
PUBLIC INDECENCY,51,2
PUBLIC PEACE VIOLATION,51,272
RITUALISM,51,1
ROBBERY,51,1471
SEX OFFENSE,51,121
STALKING,51,35
THEFT,51,8416
WEAPONS VIOLATION,51,808
ARSON,52,110
ASSAULT,52,2770
BATTERY,52,6327
BURGLARY,52,2341
CONCEALED CARRY LICENSE VIOLATION,52,2
CRIM SEXUAL ASSAULT,52,111
CRIMINAL DAMAGE,52,6635
CRIMINAL SEXUAL ASSAULT,52,15
CRIMINAL TRESPASS,52,613
DECEPTIVE PRACTICE,52,1107
GAMBLING,52,7
HOMICIDE,52,45
HUMAN TRAFFICKING,52,1
INTERFERENCE WITH PUBLIC OFFICER,52,66
INTIMIDATION,52,29
KIDNAPPING,52,81
LIQUOR LAW VIOLATION,52,80
MOTOR VEHICLE THEFT,52,1504
NARCOTICS,52,2365
OBSCENITY,52,3
OFFENSE INVOLVING CHILDREN,52,493
OTHER NARCOTIC VIOLATION,52,2
OTHER OFFENSE,52,2645
PROSTITUTION,52,3
PUBLIC PEACE VIOLATION,52,353
ROBBERY,52,594
SEX OFFENSE,52,172
STALKING,52,25
THEFT,52,4815
WEAPONS VIOLATION,52,603
ARSON,53,270
ASSAULT,53,9074
BATTERY,53,24721
BURGLARY,53,7901
CONCEALED CARRY LICENSE VIOLATION,53,17
CRIM SEXUAL ASSAULT,53,523
CRIMINAL DAMAGE,53,15128
CRIMINAL SEXUAL ASSAULT,53,54
CRIMINAL TRESPASS,53,2096
DECEPTIVE PRACTICE,53,3106
GAMBLING,53,183
HOMICIDE,53,291
HUMAN TRAFFICKING,53,1
INTERFERENCE WITH PUBLIC OFFICER,53,391
INTIMIDATION,53,75
KIDNAPPING,53,143
LIQUOR LAW VIOLATION,53,95
MOTOR VEHICLE THEFT,53,5081
NARCOTICS,53,11533
OBSCENITY,53,2
OFFENSE INVOLVING CHILDREN,53,1124
OTHER OFFENSE,53,7933
PROSTITUTION,53,1050
PUBLIC INDECENCY,53,1
PUBLIC PEACE VIOLATION,53,617
RITUALISM,53,1
ROBBERY,53,4000
SEX OFFENSE,53,378
STALKING,53,62
THEFT,53,14356
WEAPONS VIOLATION,53,2746
ARSON,54,46
ASSAULT,54,3304
BATTERY,54,9030
BURGLARY,54,1376
CONCEALED CARRY LICENSE VIOLATION,54,2
CRIM SEXUAL ASSAULT,54,144
CRIMINAL DAMAGE,54,4240
CRIMINAL SEXUAL ASSAULT,54,15
CRIMINAL TRESPASS,54,1010
DECEPTIVE PRACTICE,54,533
GAMBLING,54,44
HOMICIDE,54,84
HUMAN TRAFFICKING,54,1
INTERFERENCE WITH PUBLIC OFFICER,54,96
INTIMIDATION,54,13
KIDNAPPING,54,28
LIQUOR LAW VIOLATION,54,16
MOTOR VEHICLE THEFT,54,993
NARCOTICS,54,2071
OBSCENITY,54,4
OFFENSE INVOLVING CHILDREN,54,337
OTHER NARCOTIC VIOLATION,54,1
OTHER OFFENSE,54,2067
PROSTITUTION,54,4
PUBLIC INDECENCY,54,1
PUBLIC PEACE VIOLATION,54,157
ROBBERY,54,1067
SEX OFFENSE,54,142
STALKING,54,25
THEFT,54,3224
WEAPONS VIOLATION,54,725
ARSON,55,56
ASSAULT,55,1193
BATTERY,55,2741
BURGLARY,55,1064
CONCEALED CARRY LICENSE VIOLATION,55,2
CRIM SEXUAL ASSAULT,55,49
CRIMINAL DAMAGE,55,2416
CRIMINAL SEXUAL ASSAULT,55,7
CRIMINAL TRESPASS,55,318
DECEPTIVE PRACTICE,55,672
GAMBLING,55,11
HOMICIDE,55,15
INTERFERENCE WITH PUBLIC OFFICER,55,21
INTIMIDATION,55,18
KIDNAPPING,55,19
LIQUOR LAW VIOLATION,55,27
MOTOR VEHICLE THEFT,55,644
NARCOTICS,55,803
NON-CRIMINAL,55,1
OBSCENITY,55,3
OFFENSE INVOLVING CHILDREN,55,191
OTHER OFFENSE,55,1302
PROSTITUTION,55,2
PUBLIC PEACE VIOLATION,55,104
ROBBERY,55,239
SEX OFFENSE,55,58
STALKING,55,24
THEFT,55,2918
WEAPONS VIOLATION,55,142
ARSON,56,107
ASSAULT,56,3133
BATTERY,56,7839
BURGLARY,56,3624
CONCEALED CARRY LICENSE VIOLATION,56,118
CRIM SEXUAL ASSAULT,56,159
CRIMINAL DAMAGE,56,8998
CRIMINAL SEXUAL ASSAULT,56,23
CRIMINAL TRESPASS,56,1340
DECEPTIVE PRACTICE,56,3856
GAMBLING,56,35
HOMICIDE,56,57
INTERFERENCE WITH PUBLIC OFFICER,56,77
INTIMIDATION,56,31
KIDNAPPING,56,42
LIQUOR LAW VIOLATION,56,93
MOTOR VEHICLE THEFT,56,2569
NARCOTICS,56,3470
NON - CRIMINAL,56,1
NON-CRIMINAL,56,5
OBSCENITY,56,7
OFFENSE INVOLVING CHILDREN,56,397
OTHER NARCOTIC VIOLATION,56,1
OTHER OFFENSE,56,3551
PROSTITUTION,56,2868
PUBLIC PEACE VIOLATION,56,406
ROBBERY,56,1434
SEX OFFENSE,56,229
STALKING,56,35
THEFT,56,11563
WEAPONS VIOLATION,56,563
ARSON,57,59
ASSAULT,57,1266
BATTERY,57,3314
BURGLARY,57,1953
CONCEALED CARRY LICENSE VIOLATION,57,1
CRIM SEXUAL ASSAULT,57,87
CRIMINAL DAMAGE,57,4079
CRIMINAL SEXUAL ASSAULT,57,21
CRIMINAL TRESPASS,57,331
DECEPTIVE PRACTICE,57,1049
GAMBLING,57,8
HOMICIDE,57,26
INTERFERENCE WITH PUBLIC OFFICER,57,19
INTIMIDATION,57,15
KIDNAPPING,57,40
LIQUOR LAW VIOLATION,57,55
MOTOR VEHICLE THEFT,57,1751
NARCOTICS,57,1005
NON-CRIMINAL,57,1
OBSCENITY,57,6
OFFENSE INVOLVING CHILDREN,57,201
OTHER OFFENSE,57,1297
PROSTITUTION,57,550
PUBLIC INDECENCY,57,2
PUBLIC PEACE VIOLATION,57,187
ROBBERY,57,932
SEX OFFENSE,57,138
STALKING,57,11
THEFT,57,5897
WEAPONS VIOLATION,57,246
ARSON,58,208
ASSAULT,58,3940
BATTERY,58,12178
BURGLARY,58,4731
CONCEALED CARRY LICENSE VIOLATION,58,1
CRIM SEXUAL ASSAULT,58,267
CRIMINAL DAMAGE,58,9494
CRIMINAL SEXUAL ASSAULT,58,43
CRIMINAL TRESPASS,58,999
DECEPTIVE PRACTICE,58,2217
GAMBLING,58,18
HOMICIDE,58,136
HUMAN TRAFFICKING,58,1
INTERFERENCE WITH PUBLIC OFFICER,58,142
INTIMIDATION,58,59
KIDNAPPING,58,90
LIQUOR LAW VIOLATION,58,205
MOTOR VEHICLE THEFT,58,4619
NARCOTICS,58,4659
NON - CRIMINAL,58,1
OBSCENITY,58,15
OFFENSE INVOLVING CHILDREN,58,765
OTHER NARCOTIC VIOLATION,58,1
OTHER OFFENSE,58,4290
PROSTITUTION,58,2214
PUBLIC INDECENCY,58,3
PUBLIC PEACE VIOLATION,58,800
ROBBERY,58,2370
SEX OFFENSE,58,462
STALKING,58,39
THEFT,58,10396
WEAPONS VIOLATION,58,1064
ARSON,59,79
ASSAULT,59,1697
BATTERY,59,4155
BURGLARY,59,1921
CONCEALED CARRY LICENSE VIOLATION,59,6
